Public ID,Gene,Gene description,sch9/wt,ras2/wt,tor1/wt,,,
YAL063C,FLO5  FLO9  FLO1,"Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin resistant but heat labile, similar to Flo1p  Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation  Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant, similar to Flo5p",-0.0868,0.4743,0.1042,,,
YAL063C-A,---,Identified by expression profiling and mass spectrometry,-0.2138,1.0521,0.3249,,,
YAL064C-A,---,Hypothetical protein,-0.1279,0.0997,-0.0351,,,
YAL064W,---,Hypothetical protein,-0.1944,-0.1566,-0.1503,,,
YAL064W-B,---,Hypothetical protein,-0.4462,-0.1630,-0.4601,,,
YAL065C,---,Hypothetical protein,-0.6080,-0.4642,-0.4186,,,
YAL067C,SEO1,"Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily, mutation confers resistance to ethionine sulfoxide",-0.2042,1.5210,0.5805,,,
YAL067W-A,---,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching  Hypothetical protein  Hypothetical protein  Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",0.0322,0.4661,0.1737,,,
YAL068C,PAU4  PAU6  PAU1  PAU2  DAN3,"Part of 23-member seripauperin multigene family encoded mainly in subtelomeric regions, active during alcoholic fermentation, regulated by anaerobiosis, negatively regulated by oxygen, repressed by heme  Hypothetical protein  Part of 23-member seripauperin multigene family encoded mainly in subtelomeric regions, active during alcoholic fermentation, regulated by anaerobiosis, negatively regulated by oxygen, repressed by heme  Hypothetical protein  Part of 23-member seripauperin multigene family encoded mainly in subtelomeric regions, active during alcoholic fermentation, regulated by anaerobiosis, negatively regulated by oxygen, repressed by heme  Hypothetical protein  Hypothetical protein  Hypothetical protein  Hypothetical protein  Part of 23-member seripauperin multigene family encoded mainly in subtelomeric regions, active during alcoholic fermentation, regulated by anaerobiosis, negatively regulated by oxygen, repressed by heme  Hypothetical protein  Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p, expressed under anaerobic conditions, completely repressed during aerobic growth  Hypothetical protein  Hypothetical protein identified by homology. See FEBS Letters [2000] 487:31-36.",-0.3970,0.2501,0.3104,,,
YAR002C-A,ERP1,"Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p, member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles",-0.0048,0.3689,0.1990,,,
YAR002W,NUP60,"Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a dynamic process that is controlled by the nucleoplasmic concentration of Gsp1p-GTP, potential Cdc28p substrate",-0.2923,-0.0904,-0.1713,,,
YAR003W,SWD1,"Subunit of the COMPASS (Set1C) complex, which methylates Rad6p ubiquitinated histone H3 on lysine 4 and is required in transcriptional silencing near telomeres, WD40 beta propeller superfamily member with similarity to mammalian Rbbp7",-0.0746,-0.0053,-0.1479,,,
YAR007C,RFA1,"Subunit of heterotrimeric Replication Factor A (RF-A), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination",-0.6221,-0.8558,-0.5558,,,
YAR008W,SEN34,"Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p, Sen34p contains the active site for tRNA 3 splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease",0.0163,-0.5012,0.3310,,,
YAR009C,---,"TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  Ty ORF  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition",-1.3703,-0.9859,-0.6931,,,
YAR010C,---,"TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  Identified by expression profiling and mass spectrometry  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  Ty ORF  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition  TyA Gag protein, the main structural constituent of virus-like particles (VLPs)  TyB Gag-Pol protein, proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition",-0.5124,-0.6683,-0.5718,,,
YAR014C,BUD14,"Protein involved in bud-site selection, diploid mutants display a random budding pattern instead of the wild-type bipolar pattern",-0.5071,-0.9840,-0.4320,,,
YAR015W,ADE1,"N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for de novo purine nucleotide biosynthesis, red pigment accumulates in mutant cells deprived of adenine",0.2633,-0.1153,0.7529,,,
YAR018C,KIN3,Nonessential protein kinase with unknown cellular role,-0.2155,-0.0737,0.1285,,,
YAR019C,CDC15,"Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase, promotes mitotic exit by directly switching on the kinase activity of Dbf2p",-0.0170,0.1482,-0.0690,,,
YAR020C,PAU7,"Part of 23-member seripauperin multigene family, active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme",-0.0381,0.4380,0.2874,,,
YAR023C,---,"Putative integral membrane protein, member of DUP240 gene family",0.1510,0.6903,0.2512,,,
YAR027W,UIP3,"Putative integral membrane protein of unknown function, interacts with Ulp1p at the nuclear periphery, member of DUP240 gene family",0.1536,0.0112,0.0676,,,
YAR028W,---,"Putative integral membrane protein, member of DUP240 gene family",0.0069,-0.0329,0.0259,,,
YAR029W,---,"Member of DUP240 gene family but contains no transmembrane domains, green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern",0.0270,0.2549,-0.0462,,,
YAR031W,PRM9,"Pheromone-regulated protein with 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding",0.0582,-0.0439,0.0339,,,
YAR033W,MST27  MST28,"Putative integral membrane protein, involved in vesicle formation, forms complex with Mst28p, member of DUP240 gene family, binds COPI and COPII vesicles  Putative integral membrane protein, involved in vesicle formation, forms complex with Mst27p, member of DUP240 gene family, binds COPI and COPII vesicles",0.1488,0.2440,0.0979,,,
YAR035C-A,---,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",0.0809,-0.0359,0.0303,,,
YAR035W,YAT1,"Outer mitochondrial carnitine acetyltransferase, minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix",-0.0496,-0.0479,-0.0292,,,
YAR042W,SWH1,"Protein similar to mammalian oxysterol-binding protein, contains ankyrin repeats, localizes to the Golgi and the nucleus-vacuole junction",0.0827,0.0426,0.0310,,,
YAR050W,FLO9  FLO1,"Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation  Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant, similar to Flo5p",0.0670,1.0321,0.2451,,,
YAR064W,---,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching  Hypothetical protein",-0.2843,-0.1872,-0.2187,,,
YAR066W,---,putative membrane protein  Hypothetical protein,0.2368,0.1997,0.2827,,,
YAR068W,---,putative membrane protein,-0.0461,-1.0058,0.2179,,,
YAR071W,PHO12  PHO11,"One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface by the secretory pathway, nearly identical to Pho11p, upregulated by phosphate starvation  One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface by the secretory pathway, induced by phosphate starvation and coordinately regulated by PHO4 and PHO2",0.8063,1.1897,0.8984,,,
YAR073W,IMD2  IMD1,"Inosine monophosphate dehydrogenase, catalyzes the first step of GMP biosynthesis, expression is induced by mycophenolic acid resulting in resistance to the drug, expression is repressed by nutrient limitation  Nonfunctional protein with homology to IMP dehydrogenase, IMD1 is a probable pseudogene that is located close to the telomere and is not expressed at detectable levels  Hypothetical protein",-0.3353,-0.0902,0.0981,,,
YAR075W,IMD3  IMD2  IMD1,"Inosine monophosphate dehydrogenase, catalyzes the first step of GMP biosynthesis, member of a four-gene family in S. cerevisiae, constitutively expressed  Inosine monophosphate dehydrogenase, catalyzes the first step of GMP biosynthesis, expression is induced by mycophenolic acid resulting in resistance to the drug, expression is repressed by nutrient limitation  Nonfunctional protein with homology to IMP dehydrogenase, IMD1 is a probable pseudogene that is located close to the telomere and is not expressed at detectable levels  Hypothetical protein",0.0548,0.2745,0.2423,,,
YBL001C,ECM15,"Non-essential protein of unknown function, likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis",0.1271,0.1931,0.2553,,,
